timestamp,street_name,vehicle_count,vehicle_type
2025-05-06 00:00:00,Gran Vía,377,car
2025-05-06 00:00:00,Calle de Alcalá,62,bus
2025-05-06 00:00:00,Paseo de la Castellana,175,truck
2025-05-06 00:00:00,Calle de Serrano,121,car
2025-05-06 00:00:00,Calle de Atocha,396,car
2025-05-06 00:00:00,Calle de Goya,352,motorcycle
2025-05-06 00:15:00,Gran Vía,66,car
2025-05-06 00:15:00,Calle de Alcalá,97,truck
2025-05-06 00:15:00,Paseo de la Castellana,169,car
2025-05-06 00:15:00,Calle de Serrano,337,truck
2025-05-06 00:15:00,Calle de Atocha,416,motorcycle
2025-05-06 00:15:00,Calle de Goya,162,motorcycle
2025-05-06 00:30:00,Gran Vía,351,bus
2025-05-06 00:30:00,Calle de Alcalá,464,car
2025-05-06 00:30:00,Paseo de la Castellana,438,truck
2025-05-06 00:30:00,Calle de Serrano,407,motorcycle
2025-05-06 00:30:00,Calle de Atocha,224,bus
2025-05-06 00:30:00,Calle de Goya,129,truck
2025-05-06 00:45:00,Gran Vía,440,bus
2025-05-06 00:45:00,Calle de Alcalá,102,car
2025-05-06 00:45:00,Paseo de la Castellana,244,car
2025-05-06 00:45:00,Calle de Serrano,233,bus
2025-05-06 00:45:00,Calle de Atocha,359,bus
2025-05-06 00:45:00,Calle de Goya,463,car
2025-05-06 01:00:00,Gran Vía,423,motorcycle
2025-05-06 01:00:00,Calle de Alcalá,324,car
2025-05-06 01:00:00,Paseo de la Castellana,243,car
2025-05-06 01:00:00,Calle de Serrano,332,bus
2025-05-06 01:00:00,Calle de Atocha,474,bus
2025-05-06 01:00:00,Calle de Goya,345,truck
2025-05-06 01:15:00,Gran Vía,410,car
2025-05-06 01:15:00,Calle de Alcalá,73,truck
2025-05-06 01:15:00,Paseo de la Castellana,445,bus
2025-05-06 01:15:00,Calle de Serrano,90,truck
2025-05-06 01:15:00,Calle de Atocha,493,car
2025-05-06 01:15:00,Calle de Goya,244,bus
2025-05-06 01:30:00,Gran Vía,282,bus
2025-05-06 01:30:00,Calle de Alcalá,133,bus
2025-05-06 01:30:00,Paseo de la Castellana,231,truck
2025-05-06 01:30:00,Calle de Serrano,393,bus
2025-05-06 01:30:00,Calle de Atocha,409,car
2025-05-06 01:30:00,Calle de Goya,361,truck
2025-05-06 01:45:00,Gran Vía,323,truck
2025-05-06 01:45:00,Calle de Alcalá,133,motorcycle
2025-05-06 01:45:00,Paseo de la Castellana,244,bus
2025-05-06 01:45:00,Calle de Serrano,377,truck
2025-05-06 01:45:00,Calle de Atocha,400,bus
2025-05-06 01:45:00,Calle de Goya,481,car
2025-05-06 02:00:00,Gran Vía,167,car
2025-05-06 02:00:00,Calle de Alcalá,462,bus
2025-05-06 02:00:00,Paseo de la Castellana,255,bus
2025-05-06 02:00:00,Calle de Serrano,83,truck
2025-05-06 02:00:00,Calle de Atocha,340,bus
2025-05-06 02:00:00,Calle de Goya,158,motorcycle
2025-05-06 02:15:00,Gran Vía,252,motorcycle
2025-05-06 02:15:00,Calle de Alcalá,123,bus
2025-05-06 02:15:00,Paseo de la Castellana,121,truck
